                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2844,                0.91955,                 1.1955,                 0.7942,                0.64029,                0.71725,                0.44486,                 1.3933,                 1.0361,                 1.1836,              0.0014855,              0.0014855,              0.0014855
                     35,                 1.2204,                0.91048,                 1.1786,                0.73672,                0.54721,                0.64539,                 0.3785,                 1.4691,                 1.2329,                 1.2222,                0.00148,                0.00148,                0.00148
                     36,                 1.2403,                0.89555,                 1.1593,                0.63398,                0.61665,                0.65642,                0.39617,                  1.489,                 1.2976,                 1.2288,              0.0014745,              0.0014745,              0.0014745
                     37,                  1.221,                0.87306,                 1.1548,                0.80685,                0.50348,                0.64818,                0.39835,                  1.367,                 1.2584,                 1.1682,               0.001469,               0.001469,               0.001469
                     38,                 1.2044,                0.86764,                   1.15,                 0.8052,                0.65781,                  0.759,                0.45831,                 1.3633,                0.96567,                 1.1874,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.2537,                0.95739,                 1.2114,                0.77249,                0.64252,                0.71565,                0.44708,                  1.318,                0.98421,                 1.1514,               0.001458,               0.001458,               0.001458
                     40,                 1.1837,                0.86558,                 1.1535,                0.75601,                0.59922,                0.70617,                0.42661,                 1.3893,                 1.0894,                 1.1752,              0.0014525,              0.0014525,              0.0014525
                     41,                  1.216,                0.85032,                 1.1575,                0.75541,                0.58103,                0.68459,                  0.414,                 1.3839,                 1.1159,                 1.1953,               0.001447,               0.001447,               0.001447
                     42,                 1.1877,                0.84191,                 1.1547,                0.76083,                 0.6172,                0.71891,                0.44357,                 1.3663,                 1.0307,                 1.1787,              0.0014415,              0.0014415,              0.0014415
                     43,                 1.1227,                0.79237,                 1.1062,                0.82239,                0.60258,                0.68985,                  0.436,                 1.3328,                  1.102,                 1.1775,               0.001436,               0.001436,               0.001436
                     44,                 1.1706,                0.82381,                 1.1319,                0.73727,                0.62527,                0.71619,                0.45828,                 1.2783,                 1.0504,                 1.1295,              0.0014305,              0.0014305,              0.0014305
                     45,                 1.1677,                0.79607,                  1.127,                0.78106,                0.65742,                0.74084,                0.45424,                 1.3493,                 0.9938,                 1.1637,               0.001425,               0.001425,               0.001425
                     46,                 1.1263,                0.77099,                 1.1171,                 0.7257,                0.64342,                0.72117,                0.43641,                 1.3566,                 1.0568,                 1.1557,              0.0014195,              0.0014195,              0.0014195
                     47,                 1.1465,                0.79568,                 1.1233,                0.77674,                0.70165,                0.76696,                0.47124,                 1.2954,                0.91948,                 1.1208,              0.0014139,              0.0014139,              0.0014139
                     48,                 1.1515,                0.78543,                 1.1185,                0.73813,                 0.6799,                0.74173,                0.48186,                 1.2772,                0.96294,                 1.1254,              0.0014084,              0.0014084,              0.0014084
                     49,                 1.1387,                0.76991,                 1.1137,                0.71151,                0.63013,                0.70489,                0.45057,                 1.3055,                  1.115,                 1.1492,              0.0014029,              0.0014029,              0.0014029
                     50,                 1.1639,                0.81967,                 1.1482,                0.75058,                0.55826,                0.67855,                0.42617,                   1.35,                 1.0948,                 1.1357,              0.0013974,              0.0013974,              0.0013974
                     51,                 1.1342,                0.79055,                  1.112,                0.64735,                0.66004,                0.71224,                0.43958,                 1.3292,                  1.082,                 1.1355,              0.0013919,              0.0013919,              0.0013919
                     52,                 1.1093,                0.76256,                 1.0961,                0.78891,                 0.6155,                0.72246,                0.45752,                 1.3434,                0.99272,                 1.1352,              0.0013864,              0.0013864,              0.0013864
                     53,                 1.1082,                0.73483,                 1.0998,                0.81643,                0.60312,                0.72618,                0.45929,                 1.3077,                 1.0075,                 1.1421,              0.0013809,              0.0013809,              0.0013809
                     54,                 1.0905,                0.73457,                 1.1049,                0.73472,                0.59599,                0.65763,                0.40489,                 1.3727,                 1.1938,                 1.1653,              0.0013754,              0.0013754,              0.0013754
                     55,                 1.1241,                0.74731,                 1.1061,                0.79432,                0.56797,                0.66354,                0.41106,                 1.4026,                 1.2233,                 1.1931,              0.0013699,              0.0013699,              0.0013699
                     56,                 1.1094,                0.78242,                 1.1035,                0.78975,                0.62004,                 0.7057,                0.43662,                 1.3905,                 1.1098,                 1.1767,              0.0013644,              0.0013644,              0.0013644
                     57,                 1.1137,                 0.7363,                 1.0943,                0.80161,                0.59464,                0.70672,                0.42676,                 1.3878,                 1.0669,                 1.1651,              0.0013589,              0.0013589,              0.0013589
                     58,                 1.0846,                0.71975,                 1.1045,                0.74929,                 0.6698,                 0.7547,                0.45846,                 1.3921,                 1.0092,                 1.1665,              0.0013534,              0.0013534,              0.0013534
                     59,                 1.0956,                0.74573,                 1.0918,                0.73552,                 0.6278,                0.72685,                0.44754,                 1.3876,                 1.1165,                 1.1716,              0.0013479,              0.0013479,              0.0013479
                     60,                 1.0607,                0.71173,                 1.0752,                0.70802,                0.69468,                  0.739,                0.46117,                 1.3879,                 1.0308,                 1.1874,              0.0013424,              0.0013424,              0.0013424
                     61,                  1.096,                0.73856,                 1.0823,                0.74861,                0.68181,                0.74737,                0.44434,                 1.3909,                0.97878,                 1.1942,              0.0013369,              0.0013369,              0.0013369
                     62,                 1.0665,                0.72087,                 1.0912,                0.70459,                0.66145,                0.71065,                0.44425,                 1.3623,                 1.0424,                 1.1713,              0.0013314,              0.0013314,              0.0013314
                     63,                 1.0537,                0.70973,                 1.0787,                0.68943,                0.68662,                0.72195,                0.44499,                 1.3605,                  1.111,                 1.1723,              0.0013259,              0.0013259,              0.0013259
                     64,                 1.0845,                0.73567,                  1.094,                0.76246,                0.62068,                0.68674,                0.42405,                 1.3885,                 1.2279,                 1.1806,              0.0013204,              0.0013204,              0.0013204
                     65,                 1.0395,                 0.6839,                 1.0683,                 0.7101,                0.58851,                0.63926,                 0.3972,                 1.4722,                 1.2769,                 1.2475,              0.0013149,              0.0013149,              0.0013149
                     66,                 1.0396,                0.67751,                 1.0617,                0.74869,                0.66194,                0.71591,                0.44523,                 1.3946,                 1.0276,                  1.191,              0.0013094,              0.0013094,              0.0013094
                     67,                 1.0271,                0.68685,                  1.082,                0.82465,                 0.7356,                0.78607,                0.48453,                 1.3455,                0.89339,                 1.1341,              0.0013039,              0.0013039,              0.0013039
                     68,                 1.0699,                0.68502,                 1.0735,                0.79873,                0.69554,                0.75492,                0.46358,                 1.3836,                0.99933,                 1.1704,              0.0012984,              0.0012984,              0.0012984
                     69,                 1.0541,                0.70056,                 1.0685,                0.77026,                0.60051,                 0.6836,                0.42905,                 1.3604,                 1.2108,                 1.1484,              0.0012929,              0.0012929,              0.0012929
                     70,                 1.0415,                0.68735,                 1.0646,                0.85816,                0.64877,                0.75573,                0.46718,                 1.3671,                0.96623,                 1.1534,              0.0012874,              0.0012874,              0.0012874
                     71,                 1.0647,                0.69783,                 1.0854,                0.76191,                0.64532,                0.72142,                0.43685,                 1.3859,                   1.02,                  1.167,              0.0012819,              0.0012819,              0.0012819
                     72,                 1.0543,                0.68564,                 1.0622,                0.79963,                0.65387,                0.74017,                0.43011,                 1.4139,                0.97067,                 1.1849,              0.0012764,              0.0012764,              0.0012764
                     73,                 1.0638,                0.69228,                 1.0952,                0.75092,                0.69554,                0.75681,                0.47572,                  1.337,                0.94499,                 1.1508,              0.0012709,              0.0012709,              0.0012709
                     74,                 1.0237,                0.67293,                 1.0456,                0.79034,                0.64643,                0.74707,                0.46037,                 1.3666,                0.96912,                 1.1715,              0.0012654,              0.0012654,              0.0012654
                     75,                 1.0368,                0.66976,                 1.0634,                0.76894,                0.66624,                0.72594,                0.45847,                 1.3511,                 1.0192,                 1.1352,              0.0012599,              0.0012599,              0.0012599
                     76,                 1.0302,                0.66566,                 1.0541,                0.71858,                0.65223,                0.67431,                0.40827,                 1.3956,                 1.1884,                 1.1941,              0.0012544,              0.0012544,              0.0012544
                     77,                 1.0151,                0.66022,                 1.0825,                0.85324,                0.55428,                0.69474,                0.42118,                 1.4321,                 1.2526,                 1.2048,              0.0012489,              0.0012489,              0.0012489
                     78,                 1.0181,                0.66994,                 1.0726,                0.79906,                0.63558,                0.72013,                0.45163,                 1.3715,                 1.1262,                 1.1497,              0.0012434,              0.0012434,              0.0012434
                     79,                 1.0181,                0.67771,                 1.0576,                0.83947,                0.67968,                0.75954,                 0.4721,                  1.326,                0.96811,                 1.1639,              0.0012379,              0.0012379,              0.0012379
                     80,                 1.0233,                0.66739,                 1.0541,                0.85808,                0.59665,                0.74085,                0.45594,                  1.363,                0.98928,                 1.1787,              0.0012324,              0.0012324,              0.0012324
                     81,                 1.0145,                0.66325,                 1.0396,                0.77073,                0.60964,                0.70927,                0.43333,                 1.3912,                 1.1044,                 1.1977,              0.0012269,              0.0012269,              0.0012269
                     82,                0.96043,                0.63509,                 1.0356,                0.75396,                0.64408,                0.72918,                0.45006,                 1.3327,                 1.1079,                 1.1524,              0.0012214,              0.0012214,              0.0012214
                     83,                0.97496,                0.62279,                 1.0442,                0.78565,                0.66429,                0.75284,                 0.4644,                 1.3772,                 1.0029,                 1.1695,              0.0012159,              0.0012159,              0.0012159
                     84,                0.96767,                0.63532,                 1.0566,                 0.8644,                0.55756,                0.69154,                 0.4254,                 1.4227,                  1.156,                 1.1919,              0.0012104,              0.0012104,              0.0012104
                     85,                  1.008,                0.63987,                 1.0545,                0.76705,                0.63954,                 0.6948,                0.42774,                 1.3956,                  1.131,                 1.1709,              0.0012049,              0.0012049,              0.0012049
                     86,                 1.0126,                 0.6407,                 1.0471,                0.75557,                0.63937,                0.70017,                0.42992,                 1.4119,                 1.1961,                 1.1822,              0.0011994,              0.0011994,              0.0011994
                     87,                0.96026,                0.64145,                 1.0494,                0.77255,                0.58934,                 0.6844,                0.41901,                 1.4656,                 1.3377,                 1.2175,              0.0011939,              0.0011939,              0.0011939
                     88,                0.98283,                0.62367,                 1.0263,                0.77161,                0.73668,                 0.7693,                0.47641,                 1.3681,                0.92395,                   1.19,              0.0011884,              0.0011884,              0.0011884
                     89,                0.92801,                0.59915,                 1.0146,                0.78659,                0.65321,                0.74588,                0.45475,                 1.3966,                0.99649,                 1.1914,              0.0011829,              0.0011829,              0.0011829
                     90,                0.97586,                0.62019,                 1.0307,                0.78956,                0.62388,                0.73803,                0.44848,                 1.3859,                 1.1077,                 1.1929,              0.0011774,              0.0011774,              0.0011774
                     91,                0.97498,                0.63944,                 1.0292,                  0.778,                0.61412,                0.72748,                0.44137,                 1.4292,                  1.116,                 1.2428,              0.0011719,              0.0011719,              0.0011719
                     92,                0.96042,                0.59944,                  1.021,                0.73077,                0.65524,                0.73378,                0.45382,                 1.3688,                 1.1062,                 1.2174,              0.0011664,              0.0011664,              0.0011664
                     93,                0.98132,                0.60714,                 1.0221,                 0.7814,                0.61484,                0.70044,                0.41634,                 1.4905,                 1.1738,                 1.2607,              0.0011609,              0.0011609,              0.0011609
                     94,                0.96331,                0.60884,                 1.0114,                0.80556,                0.64676,                0.73566,                0.44866,                 1.4198,                 1.0397,                 1.2266,              0.0011554,              0.0011554,              0.0011554
                     95,                0.95263,                0.62777,                 1.0204,                0.82044,                0.66496,                0.76232,                0.45245,                 1.4332,                 1.0524,                 1.2119,              0.0011499,              0.0011499,              0.0011499
                     96,                0.90677,                0.60201,                 1.0221,                 0.7455,                0.68192,                0.73656,                0.46215,                 1.3523,                 1.0303,                 1.1709,              0.0011444,              0.0011444,              0.0011444
                     97,                0.93693,                 0.6054,                 1.0142,                0.80134,                 0.6442,                0.74865,                0.47611,                 1.3483,                0.94523,                 1.1475,              0.0011389,              0.0011389,              0.0011389
                     98,                0.90477,                 0.5771,                 1.0192,                0.85066,                0.63147,                 0.7695,                0.48209,                 1.3337,                0.97274,                 1.1445,              0.0011334,              0.0011334,              0.0011334
                     99,                0.94245,                 0.5962,                 1.0214,                0.72592,                0.71581,                0.75616,                0.47764,                 1.3257,                0.97722,                 1.1262,              0.0011279,              0.0011279,              0.0011279
                    100,                0.92261,                0.59876,                 1.0203,                0.82212,                0.60313,                0.73475,                0.46638,                 1.3099,                 1.0259,                  1.146,              0.0011224,              0.0011224,              0.0011224
                    101,                0.87099,                0.57162,                 1.0135,                0.86614,                0.58729,                0.74873,                0.46979,                 1.3342,                 1.0216,                 1.1578,              0.0011169,              0.0011169,              0.0011169
                    102,                0.94283,                0.59643,                   1.01,                0.80769,                0.64643,                0.74921,                0.46385,                  1.351,                0.99547,                 1.1362,              0.0011114,              0.0011114,              0.0011114
                    103,                0.91608,                 0.5924,                 1.0156,                0.81382,                0.62213,                0.74518,                0.47174,                 1.3546,                 1.1853,                 1.1424,              0.0011059,              0.0011059,              0.0011059
                    104,                0.92971,                 0.6157,                 1.0176,                0.75687,                0.67634,                0.75341,                 0.4714,                 1.3415,                 1.0517,                 1.1496,              0.0011004,              0.0011004,              0.0011004
                    105,                0.93987,                0.59423,                 1.0159,                0.71881,                0.66685,                 0.7191,                0.45063,                 1.3434,                  1.102,                 1.1463,              0.0010949,              0.0010949,              0.0010949
                    106,                0.91848,                0.57845,                 1.0035,                0.69504,                0.67167,                0.69597,                0.41197,                 1.4328,                 1.1614,                 1.1998,              0.0010894,              0.0010894,              0.0010894
                    107,                0.89724,                0.56153,                 1.0061,                0.78728,                0.65647,                0.71817,                 0.4428,                  1.316,                 1.0553,                 1.1559,              0.0010839,              0.0010839,              0.0010839
                    108,                0.86434,                0.55538,                0.99921,                0.78319,                0.71116,                0.76034,                0.47302,                 1.3159,                0.96579,                 1.1369,              0.0010784,              0.0010784,              0.0010784
                    109,                0.90627,                0.57088,                 1.0081,                0.83654,                0.66168,                0.74904,                0.47944,                 1.3176,                0.92152,                 1.1355,              0.0010729,              0.0010729,              0.0010729
                    110,                0.88072,                0.57199,                0.99881,                0.79928,                0.72846,                0.79598,                0.48922,                 1.3534,                0.87818,                  1.164,              0.0010674,              0.0010674,              0.0010674
                    111,                0.88812,                0.56026,                  1.012,                0.81187,                0.62556,                0.69895,                0.42842,                 1.4204,                 1.2349,                 1.2066,              0.0010619,              0.0010619,              0.0010619
                    112,                0.87821,                0.54024,                0.98949,                0.78879,                0.59325,                0.69938,                0.42436,                 1.4087,                 1.1943,                 1.1898,              0.0010564,              0.0010564,              0.0010564
                    113,                0.90032,                 0.5607,                0.99307,                0.71526,                0.67109,                0.72838,                0.44617,                 1.3951,                 1.1552,                 1.1773,              0.0010509,              0.0010509,              0.0010509
                    114,                0.88669,                 0.5596,                 1.0041,                0.79239,                0.62557,                0.72672,                0.44759,                 1.3838,                 1.2188,                 1.1773,              0.0010454,              0.0010454,              0.0010454
                    115,                 0.8988,                0.55353,                0.98753,                0.80745,                0.59531,                0.71028,                0.43268,                 1.3685,                 1.2506,                 1.1755,              0.0010399,              0.0010399,              0.0010399
                    116,                0.90036,                0.58191,                 1.0054,                0.80883,                0.61875,                 0.6943,                0.42745,                 1.3926,                 1.1786,                 1.1899,              0.0010344,              0.0010344,              0.0010344
                    117,                0.90117,                0.54228,                0.99856,                 0.7004,                0.66819,                0.72053,                0.44759,                  1.378,                  1.071,                 1.1759,              0.0010289,              0.0010289,              0.0010289
                    118,                0.86907,                0.56171,                0.99809,                0.73008,                0.65127,                0.72792,                0.45739,                 1.4141,                 1.1004,                 1.1633,              0.0010234,              0.0010234,              0.0010234
                    119,                0.87557,                 0.5379,                0.98025,                0.77498,                0.65867,                0.73288,                 0.4607,                 1.3845,                 1.1245,                 1.1467,              0.0010179,              0.0010179,              0.0010179
                    120,                0.87513,                0.53923,                0.98677,                0.76382,                0.67588,                0.74414,                 0.4651,                 1.3802,                 1.1022,                 1.1616,              0.0010124,              0.0010124,              0.0010124
                    121,                0.87672,                0.52934,                0.97809,                 0.7679,                0.65614,                0.72499,                0.46049,                 1.3556,                  1.239,                  1.148,              0.0010069,              0.0010069,              0.0010069
                    122,                0.86991,                0.53802,                0.97447,                0.81094,                0.65647,                0.75828,                0.47733,                 1.3218,                 1.1238,                 1.1282,              0.0010014,              0.0010014,              0.0010014
                    123,                0.86487,                0.52639,                0.97553,                0.82668,                 0.6731,                0.76647,                0.48565,                 1.3096,                 1.0397,                 1.1249,             0.00099587,             0.00099587,             0.00099587
                    124,                0.83954,                0.51095,                0.98912,                0.81985,                0.66065,                0.75955,                0.47916,                 1.3207,                 1.0282,                 1.1421,             0.00099036,             0.00099036,             0.00099036
                    125,                0.83822,                0.51566,                0.97834,                0.81614,                0.68005,                0.77763,                0.49078,                 1.3142,                 0.9679,                 1.1243,             0.00098486,             0.00098486,             0.00098486
                    126,                0.84018,                 0.5269,                0.97862,                0.79718,                0.67109,                0.73379,                0.46307,                 1.3431,                 1.1107,                 1.1513,             0.00097936,             0.00097936,             0.00097936
                    127,                0.83376,                0.53156,                0.97718,                0.79215,                0.69528,                0.74318,                0.47484,                 1.3219,                0.98542,                  1.132,             0.00097386,             0.00097386,             0.00097386
                    128,                0.82072,                0.51864,                0.97349,                0.78657,                0.73375,                0.77625,                0.48444,                 1.3623,                0.92406,                 1.1733,             0.00096836,             0.00096836,             0.00096836
                    129,                0.81833,                 0.5147,                0.96917,                0.75008,                0.64799,                0.72941,                0.45455,                  1.366,                 1.1419,                 1.1783,             0.00096286,             0.00096286,             0.00096286
                    130,                0.85284,                0.52784,                0.97497,                0.78814,                0.65547,                0.73061,                0.47184,                 1.3375,                 1.1643,                 1.1623,             0.00095736,             0.00095736,             0.00095736
                    131,                0.80569,                0.51382,                0.95982,                0.80568,                0.64018,                0.74543,                0.46841,                 1.3469,                 1.0843,                 1.1531,             0.00095186,             0.00095186,             0.00095186
                    132,                0.83112,                 0.5339,                0.97443,                0.78962,                0.71016,                0.78575,                0.49477,                  1.324,                 1.0127,                 1.1497,             0.00094636,             0.00094636,             0.00094636
                    133,                0.78875,                0.49429,                0.95686,                0.76412,                0.69148,                0.74901,                0.46991,                 1.2999,                 1.0834,                 1.1343,             0.00094085,             0.00094085,             0.00094085
                    134,                0.81243,                0.51169,                0.97297,                0.71672,                 0.7142,                0.75873,                0.47531,                 1.2882,                  1.056,                   1.13,             0.00093535,             0.00093535,             0.00093535
                    135,                0.82717,                0.51292,                0.96009,                0.82512,                0.65882,                0.77074,                0.49481,                 1.2847,                0.98077,                 1.1378,             0.00092985,             0.00092985,             0.00092985
                    136,                0.82804,                0.50654,                0.95471,                0.77407,                 0.7028,                 0.7684,                0.48024,                 1.3228,                 1.0231,                 1.1611,             0.00092435,             0.00092435,             0.00092435
                    137,                0.80241,                0.50791,                0.97226,                0.77086,                0.67076,                 0.7641,                0.47898,                 1.3223,                 1.1081,                  1.154,             0.00091885,             0.00091885,             0.00091885
                    138,                0.84861,                0.52382,                0.97723,                0.77699,                0.64297,                 0.7452,                0.47178,                 1.3374,                 1.2122,                  1.166,             0.00091335,             0.00091335,             0.00091335
